"Name","Unmodelled (BP)",,
,"from_95_4","to_95_4",
"SHCal20",,,
"IT-C-2539 (CN 34285)","13793","13514",
"IT-C-2566 (CN 35716)","15228","14521",
"IT-C-2563 (CN 34911)","15904","15452",
"IT-C-2538 (CN 30270)","16585","16165",
"IT-C-2567 (CN 30258)","17388","17044",
"IT-C-2564 (CN 30224)","17455","17074",
"IT-C-2346 (CN 30258)","17696","17051",
"IT-C-2562 (CN 32455)","20360","19900",
"IT-C-2356 (CN 32455)","20427","19909",
"IT-C-2345 (CN 31390)","20896","20355",
"IT-C-2357 (CN 36264)","21972","21268",
"BETA-461583 (CN 17923)","21855","21400",
"IT-C-2376 (CN 36264)","22005","21278",
"BETA-461582 (CN 22305)","22853","22394",
"BETA-469051 (CN 18702)","23010","22625",
"SMU-1823","10645","8455",
"UW-410","10576","9756",
"UW-411","12687","11785",
"Pta-1484","10235","9736",
"Pta-1805","14021","13485",
"GrN-5874","11109","10598",
"Poz-104,167","11186","10757",
"Poz-64,463","11111","10664",
"Poz-64,465","11326","11156",
"GrN-4845","11075","10566",
"GrN-4813","11708","11191",
"Pta-1905","7562","7281",
"Pta-2347","8767","8343",
"Pta-1587","11246","10802",
"OxA-32684","11705","11252",
"OxA-32685","14786","13881",
"CK7-2","12037","10437",
"Pta-0737","12833","12201",
"AA-5833","12912","12637",
"OxA-478","13171","12196",
"Pta-0732","12755","12095",
"Pta-2481","11760","11215",
"Pta-2592","12470","10659",
"Pta-5336","12614","11971",
"Pta-5361","12729","12065",
"Pta-5369","12765","12175",
"Pta-6758","12745","12097",
"Pta-686","11181","10597",
"UW-0192","13181","12738",
"UW-0193","11835","11278",
"Pta-4816","12966","12494",
"Pta-1125","11832","11205",
"Pta-3643","13764","13319",
"LLNL-CAMS# 170783","11867","11324",
"Pta-5191","9526","9034",
"UGAMS-8984","10290","10181",
"OxA-27311","9660","9465",
"UGAMS-11597","9719","9539",
"Pta-5192","10231","9729",
"Pta-5204","10661","10236",
"UGAMS-8985","10578","10299",
"OxA-27312","10376","10176",
"OxA-27313","10405","10180",
"OxA-27314","11874","11331",
"OxA-27315","11843","11326",
"UGAMS-8986","11712","11308",
"OxA-27316","11938","11524",
"Pta-5205","11756","11198",
"Pta-4620","11333","10760",
"LJ-3199","10195","9559",
"Pta-112","8170","7842",
"Pta-099","11306","10770",
"LJ-3198","10651","10190",
"AA-6649","11201","10744",
"AA-8563","11705","11190",
"Wits-1436","10191","8781",
"Pta-2307","10653","10225",
"Pta-2812","8338","7939",
"Beta-347865","11174","10765",
"Beta-347868","13081","12785",
"Beta-347866","13607","13355",
"Beta-347867","13598","13355",
"Beta-347869","13781","13511",
"D-AMS 001836","13745","13434",
"D-AMS 002439","14799","14056",
"KRU-2","7661","7262",
"KRU-3","7672","7264",
"KRU-4","7687","7329",
"KRU-5","7780","7426",
"KRU-6","8401","8055",
"KRU-7","10492","9905",
"KRU-8","11210","10512",
"KRU-9","11614","10710",
"KRU-10","12613","11341",
"Pta-1273","10495","9908",
"Pta-1272","11972","11271",
"L-336G","13180","11175",
"L-336H","14075","12093",
"UCLA-1746-C-2","12469","11180",
"UCLA-1746-A","12481","11180",
"Pta-6823","8320","8030",
"Marine20",,,
"Pta-6831","8123","7820",
"Pta-6925","11146","10763",
"Pta-6848","11237","10908",
"Pta-6951","11310","11035",
"SHCal20",,,
"Pta-6687","9527","8032",
"Pta-6686","11280","10306",
"Pta-6936","11625","11150",
"Pta-6838","11839","11330",
"Pta-6937","11333","10760",
"Pta-6702","13162","11633",
"GaK-1538","12763","11640",
"Pta-666","8594","8209",
"OxA-32451","9545","9459",
"OxA-32452","9530","9304",
"Pta-391","10246","9765",
"OxA-32453","10649","10283",
"Q-1085","12613","11256",
"OxA-32454","11923","11341",
"Pta-392","11972","11271",
"UW-164","12084","11305",
"OxA-32455","12464","11874",
"UW-177","14117","13464",
"I-6515","13494","12486",
"Pta-5238","9892","9555",
"OxA-32161","10119","9557",
"OSL-NT11-15","10434","8434",
"UGAMS-8974","9689","9538",
"OxA-X-2460-48","10195","9691",
"OxA-32160","10203","9790",
"OSL-NT11-18","10234","8234",
"OxA-32159","11086","10601",
"OSL-NT11-06","12334","9934",
"OxA-32158","10113","9552",
"UGAMS-8975","10710","10502",
"UGAMS-8976","10403","10199",
"UGAMS-8977","9897","9556",
"OSL-NT11-11","11534","9534",
"OxA-32157","11098","10662",
"UGAMS-8978","11069","10587",
"OxA-26230","10655","10284",
"Pta-5207","11255","10601",
"UGAMS-8979","11171","10773",
"OSL-NT11-17","13534","11134",
"OSL-NT11-21","14734","11934",
"OSL-NT06-5","12734","10334",
"TX-5633","9416","8543",
"TX-5634","10221","9551",
"TX-5635","10683","10243",
"TX-5636","12828","10432",
"TX-5637","13795","11519",
"Pta-410","10235","9699",
"Pta-5600","9525","9129",
"Pta-5560","9662","9479",
"RCC21","9743","7343",
"Pta-5599","10566","10239",
"Pta-6278","8310","7875",
"Pta-6280","8014","7700",
"Pta-6072","8178","7838",
"Pta-6083","7943","7671",
"Pta-6368","10563","10253",
"Pta-6057","11617","10586",
"Pta-3533","8536","8189",
"TX-5628","11057","10250",
"Pta-3540","10148","9472",
"TX-5630","10335","9486",
"TX-5629","11180","10177",
"Y-1996","11100","10224",
"Pta-004","12463","9693",
"Pta-5172","9891","9491",
"BETA-469053 (CN 6666)","11073","10604",
"IT-C-2322 (CN 1503)","11141","10699",
"IT-C-2321 (CN 1503)","11158","10705",
"BETA-469052 (CN 4945)","11163","10767",
"IT-C-2360 (CN 8098)","11098","10572",
"IT-C-2383 (CN 4944)","11078","10585",
"IT-C-2590 (CN 7618)","11081","10587",
"IT-C-2389 (CN 20608)","11090","10602",
"IT-C-2542 (CN 18638)","11061","10511",
"IT-C-2537 (CN 21323","11069","10566",
"IT-C-2351 (CN 22339)","11072","10573",
"BETA-442147 (CN 501)","11163","10767",
"BETA-461585 (CN 20408)","11070","10596",
"IT-C-2387 (CN 30047)","11098","10609",
"T-C-2385 (CN 30048)","11142","10705",
"IT-C-2540 (CN 27019)","11069","10520",
"IT-C-2347 (CN 27014)","11075","10582",
"IT-C-2559 (CN 27694)","11071","10579",
"IT-C-2557 (CN 33274)","11109","10683",
"IT-C-2535 (CN 27605)","11085","10601",
"IT-C-2358 (CN 30657)","11099","10595",
"IT-C-2388 (CN 32294)","11142","10696",
"IT-C-2377 (CN 33766)","11106","10664",
"IT-C-2560 (CN 30624)","11136","10704",
"IT-C-2556 (CN 31813)","11168","10759",
"IT-C-2531 (CN 33381)","10994","10506",
"IT-C-2386 (CN 33381)","11084","10581",
"IT-C-2384 (CN 33382)","11078","10585",
"IT-C-2555 (CN 33382)","11093","10602",
"IT-C-2532 (CN 31884)","11172","10761",
"IT-C-2349 (CN 31884)","11200","10775",
"BETA-461584 (CN 17125)","11185","10788",
"Pta-2546","10554","9916",
"Pta-2852","11615","10687",
"Pta-2790","11715","11235",
"Pta-2786","12430","11310",
"Pta-6872","12086","11237",
"Pta-6871","11950","11257",
"Pta-6884","11881","11245",
