"","Estimate","upperCI","Cul"
"284",24373.5198097819,25040.5141748214,"x"
"285",24474.305011562,25174.9729571867,"x"
"286",24882.9024241543,25706.8629138325,"x"
"287",24633.9412628287,25343.9683789105,"x"
"288",25780.3889035509,27671.3246143222,"x"
"289",24522.3661578923,25184.5966267124,"x"
"290",24511.0241691314,25174.9672321633,"x"
"291",24458.8192129521,25042.4146817832,"x"
"292",25373.1649132981,26990.3651718382,"x"
"293",25048.9874483536,26193.4032270637,"x"
"294",24892.1066596888,26021.72254117,"x"
"295",24834.5391432889,25653.2265063929,"x"
"296",25182.0253989026,26209.300430415,"x"
"297",24847.7404040886,25655.2120709711,"x"
"298",25278.4380798304,26465.4715152998,"x"
"299",30583.0811035346,38796.6254508121,"x"
"300",25145.8730414161,26407.6615810572,"x"
"301",25056.1023200262,26289.4629461201,"x"
"302",25223.7990090285,26560.4014183686,"x"
"303",24824.1956468032,25651.2253671132,"x"
"304",24554.2701372777,25402.8193760637,"x"
"305",24542.6423632276,25005.0685616891,"x"
"306",24480.4119587679,25126.2125108,"x"
"307",24809.6406941844,25771.8782265428,"x"
"308",24449.5875811724,24876.8532165706,"x"
"309",25383.7338200123,26861.3171990339,"x"
"310",24279.4918187952,24878.483604695,"x"
"311",24965.7099745096,26004.5411086417,"x"
"312",24675.4167536223,25485.7715550394,"x"
"313",24512.0618025276,25192.2947892013,"x"
"314",24230.8795969053,24665.1745653127,"x"
"315",24357.343865579,24955.7381784393,"x"
"316",24596.1176409791,25392.4551106974,"x"
"317",24793.5103192353,25776.959209959,"x"
"318",24550.4870700031,25247.7282552188,"x"
"319",24920.0033279564,25712.079798322,"x"
"320",24405.517073888,24899.4999132767,"x"
"321",24850.1702274718,25975.9396773768,"x"
"322",24775.6636256874,25453.241425667,"x"
"323",24722.7992467011,25544.0427741702,"x"
"324",24602.7715065635,25325.4412406303,"x"
"325",24566.6159053714,25401.3289041952,"x"
"326",24746.9260212902,25479.7805634974,"x"
"327",24329.259456754,24790.1824890884,"x"
"328",24246.1544469196,24744.7160118568,"x"
"329",24152.9170671154,24597.6204932541,"x"
"330",24597.6223875307,25337.7345381507,"x"
"331",25986.6810293437,27894.3529847799,"x"
"332",24415.8117038872,24734.2311888369,"x"
"333",24369.6129386844,24827.2459443266,"x"
"334",24654.8333057959,25218.7388774446,"x"
"335",24433.9860043198,24806.6621015141,"x"
"336",25029.8000930786,26146.9887531265,"x"
"337",24330.4838584626,24785.2122433917,"x"
"338",24716.896152339,25553.0065991405,"x"
"339",24874.2296341865,25876.6856379084,"x"
"340",24793.5685435602,25746.4420856715,"x"
"341",24469.3608641359,25007.0467636045,"x"
"342",25357.875586515,26830.8316000382,"x"
"343",25076.5048844584,26224.7305286237,"x"
"344",25491.227845921,27052.9461543018,"x"
"345",24406.2963705564,24801.6191015041,"x"
"346",25042.0117691745,26003.4112287986,"x"
"347",24885.0855066598,25841.118694164,"x"
"348",24953.7031593364,26061.0531771626,"x"
"349",24524.5767240029,25383.5858755947,"x"
"350",24842.0052594702,25883.062390535,"x"
