"","Estimate","upperCI","Cul"
"574",14773.9429772651,15113.2479547637,"x"
"575",14393.9461999691,14710.3823916484,"x"
"576",15272.2906619356,16476.4233068894,"x"
"577",14806.5448561665,15591.5685499503,"x"
"578",14831.0009571007,15564.439430864,"x"
"579",14770.6601867775,15272.2819322963,"x"
"580",15023.2073294706,16025.1695350783,"x"
"581",14875.9653661453,15424.9957599789,"x"
"582",15066.9662502516,16038.3380903989,"x"
"583",15009.3121095148,15878.5775712617,"x"
"584",14696.0532100431,15490.1877127394,"x"
"585",15032.1555654242,16031.8589239092,"x"
"586",15029.1569419576,15887.4963771721,"x"
"587",15732.8083324948,17494.4029726339,"x"
"588",14766.1519365313,15549.2041855823,"x"
"589",14960.2073448167,15856.2492031793,"x"
"590",14912.6481244857,15791.2580804764,"x"
"591",14798.6655630723,15496.8848322094,"x"
"592",15019.0774874112,16038.8200876498,"x"
"593",14711.2971401184,15213.5000028966,"x"
"594",15102.0152021144,15950.0743587163,"x"
"595",14703.1333402535,15235.5288676745,"x"
"596",14956.5582161588,15766.4069285205,"x"
"597",14867.3422065892,15699.2613403765,"x"
"598",14881.4886014323,15735.5504508811,"x"
"599",14977.2051900713,15855.1933291743,"x"
"600",15107.6708919389,15881.4165062548,"x"
"601",14977.1933538672,15967.7488144287,"x"
"602",14943.8608284743,15839.0637256282,"x"
"603",15372.3374716277,16709.4130272541,"x"
"604",14980.9637538968,15861.8571023903,"x"
"605",14917.4670182113,15571.4630017397,"x"
"606",14790.5111309993,15524.2424867451,"x"
"607",14890.3748516354,15617.6597139965,"x"
"608",14725.8678274775,15302.4268273404,"x"
"609",14831.6690023439,15379.8218032031,"x"
"610",14561.6129061698,14960.5011009322,"x"
"611",14474.2433356848,14961.6364155313,"x"
