"Name","Unmodelled (BP)",,"Modelled (BP)",,"Indices
Amodel 89.6
Aoverall 100.4",
,"from_95_4","to_95_4","from_95_4","to_95_4","Acomb","A","L","P","C",
"",,,,,,,,,,
"OxA-33812","12618","12097","12618","12097",,99.5,,,99.8,
"IT-C-3432","14241","13507","14243","13507",,100,,,99.7,
"IT-C-3846","14080","13614","14081","13615",,100,,,99.7,
"Pta-1828","14128","13606","14127","13606",,99.9,,,99.7,
"IT-C-3844","14800","13763","14800","13764",,100,,,99.7,
"IT-C-3411","14965","13792","14965","13791",,100,,,99.7,
"IT-C-3848","14817","14025","14817","14025",,100.1,,,99.8,
"IT-C-3845","14846","14032","14845","14032",,100,,,99.8,
"IT-C-3418","15074","14092","15074","14091",,100,,,99.7,
"UW-412","15100","14108","15101","14108",,100,,,99.7,
"IT-C-3434","15164","14148","15162","14147",,100,,,99.7,
"IT-C-3433","15295","14070","15294","14070",,100,,,99.7,
"IT-C-3855","15181","14336","15180","14335",,99.9,,,99.8,
"IT-C-3880","15135","14336","15134","14334",,99.9,,,99.8,
"OxA-33813","15200","14586","15201","14588",,100,,,99.8,
"IT-C-3873","15370","14606","15370","14605",,99.9,,,99.7,
"IT-C-4567","15499","14965","15499","14965",,100,,,99.8,
"IT-C-4639","15620","15120","15619","15120",,100,,,99.8,
"IT-C-3852","15812","15324","15813","15324",,100,,,99.8,
"OxA-33814","15678","15280","15677","15279",,100,,,99.8,
"IT-C-3849","15745","15247","15745","15249",,100,,,99.8,
"Pta-3899","16602","15118","16611","15120",,100,,,99.4,
"IT-C-4654","16445","15810","16444","15805",,99.9,,,99.8,
"IT-C-3832","17245","16456","17250","16459",,100.1,,,99.8,
"IT-C-3482","17307","16696","17307","16695",,100,,,99.8,
"IT-C-3834","17738","16583","17743","16583",,100,,,99.7,
"IT-C-3872","17415","17041","17415","17041",,100,,,99.8,
"UW-301","17991","16541","17997","16543",,99.9,,,99.6,
"IT-C-4698","18015","16625","18015","16623",,100.1,,,99.6,
"IT-C-3874","18196","17532","18196","17529",,99.9,,,99.8,
"Pta-2259","16203","15438","16205","15435",,100.1,,,99.7,
"IT-C-3857","16902","16210","16901","16208",,100,,,99.7,
"IT-C-3430","17051","16248","17053","16247",,99.9,,,99.7,
"IT-C-3429","17374","16619","17375","16620",,100,,,99.7,
"IT-C-3837","17383","16735","17384","16734",,99.9,,,99.8,
"IT-C-3831","17413","16915","17414","16915",,100,,,99.8,
"IT-C-3423","17892","17065","17891","17065",,100,,,99.7,
"IT-C-3414","17989","17101","17988","17101",,100,,,99.8,
"IT-C-4640","18063","17351","18061","17350",,100,,,99.8,
"IT-C-3856","18120","17414","18120","17414",,100,,,99.8,
"IT-C-4569","18637","17926","18637","17926",,99.8,,,99.8,
"AA-6959","22015","21152","22015","21152",,100,,,99.8,
"Pta-3283","22078","21012","22078","21012",,100,,,99.7,
"IT-C-3871","24621","23840","24393","23831",,111.2,,,99.8,
"IT-C-3425","25060","23793","24484","23762",,106.1,,,99.5,
"OxA-33815","22012","21434","22012","21434",,100,,,99.8,
"GrN-4814","14170","13614","14170","13614",,99.9,,,99.8,
"Pta-1175","14925","13867","14925","13867",,100,,,99.7,
"GrN-4815","14770","13780","14771","13780",,99.9,,,99.8,
"Pta-1176","15065","14110","15064","14110",,100,,,99.8,
"GrN-5873","15122","14082","15121","14082",,100,,,99.7,
"GrN-4816","15104","14190","15101","14189",,100,,,99.8,
"Pta-1177","15509","14999","15509","14998",,100,,,99.8,
"Pta-1178","15607","15272","15606","15272",,100,,,99.9,
"I-7948","15668","14280","15667","14279",,100,,,99.6,
"OxA-32686","16548","16106","16549","16106",,100,,,99.8,
"OxA-32687","17073","16640","17074","16641",,100,,,99.9,
"Pta-1288","16602","15842","16600","15839",,99.9,,,99.7,
"Pta-1067","15080","14189","15082","14190",,99.9,,,99.8,
"Pta-1068","17049","16299","17048","16300",,100.1,,,99.8,
"Pta-1200","16191","15396","16192","15394",,100,,,99.8,
"Pta-6756","13456","13085","13455","13085",,99.9,,,99.8,
"Pta-6757","15930","15165","15931","15168",,100,,,99.7,
"AA-5834","13443","13117","13443","13118",,99.9,,,99.8,
"Pta-6761","16265","15543","16267","15542",,99.9,,,99.7,
"Pta-4321","16887","15962","16891","15961",,100,,,99.6,
"GaK-4338","15517","13790","15517","13790",,100,,,99.5,
"GifA-13001/SacA 31983","19200","18895","19201","18895",,100,,,99.9,
"GifA-13002/SacA 31984","19445","19055","19445","19055",,100,,,99.9,
"Pta-5308","22046","20989","22046","20988",,100,,,99.6,
"Pta-4817","13599","13170","13599","13170",,100,,,99.9,
"Pta-4822","20310","19513","20311","19515",,100,,,99.8,
"GNH 5","16331","13131","16331","13123",,100,,,99.9,
"UBA-38535","20895","20507","20895","20507",,100,,,99.9,
"GV18/4/2","21328","20528","21328","20528",,99.9,,,99.9,
"UGAMS-11599","15105","14534","15105","14532",,99.8,,,99.8,
"OxA-4274","15380","15004","15380","15005",,100.1,,,99.8,
"AA-5829","14182","13515","14183","13515",,100,,,99.7,
"LJ-3150","14832","13805","14834","13805",,100,,,99.7,
"AA-8564","14917","14097","14917","14099",,100,,,99.8,
"Pta-100","15983","15300","15982","15300",,100,,,99.7,
"LJ-3135","23820","22749","23819","22752",,100,,,99.7,
"LJ-3136","24710","23297","24377","23330",,111.5,,,99.7,
"Beta-522531","15894","15567","15894","15568",,100,,,99.9,
"Beta-522530","16526","16186","16526","16186",,100,,,99.9,
"Beta-522529","16765","16360","16764","16360",,100,,,99.9,
"Pta-782a","14965","13871","14965","13871",,100.1,,,99.8,
"Pta-782b","15170","14225","15170","14225",,100,,,99.8,
"D-AMS 001837/828","16777","16340","16780","16340",,100,,,99.8,
"D-AMS 002440/481","17355","17011","17356","17011",,100,,,99.8,
"D-AMS 003799/858","18175","17595","18175","17599",,100,,,99.9,
"D-AMS 001838/876","18203","17784","18203","17784",,100,,,99.9,
"D-AMS 002440/686","18760","18288","18760","18288",,99.9,,,99.9,
"D-AMS 002441/736","18786","18300","18786","18300",,100,,,99.9,
"D-AMS 003800/920","19302","18923","19302","18923",,99.9,,,99.9,
"D-AMS 001839/924","22330","21991","22330","21993",,100,,,99.8,
"Pta-1406","24523","23474","24320","23468",,106,,,99.8,
"Pta-1407","24621","23840","24392","23831",,111.2,,,99.8,
"Pta-1367","24090","23047","24082","23051",,100.4,,,99.8,
"OxA-23028","24560","23432","24335","23427",,107.9,,,99.8,
"UW-233","18880","18287","18879","18286",,100,,,99.8,
"D-AMS 003801/114","18657","18262","18657","18262",,100,,,99.9,
"D-AMS 003802/141","19528","19183","19528","19183",,100,,,99.9,
"OxA-32457","12596","12023","12596","12023",,99.9,,,99.9,
"UW-218","12762","11959","12761","11959",,100,,,99.7,
"OxA-32606","14122","13803","14122","13803",,99.9,,,99.8,
"OxA-32458","18203","17800","18203","17800",,100,,,99.8,
"I-6516","20729","19551","20721","19550",,100,,,99.5,
"UW-175","23130","20524","23125","20528",,100,,,99.3,
"OxA-32607","22506","22128","22506","22129",,99.9,,,99.8,
"GrN-5884","22896","22352","22896","22352",,100.1,,,99.8,
"OxA-32608","23285","22618","23285","22619",,100,,,99.8,
"UGAMS-8980","11080","10691","11080","10691",,99.9,,,99.9,
"OSL-NT11-23","13234","10034","13114","10458",,105.5,,,99.9,
"OSL-NT11-22","13334","10934","13334","10934",,100.3,,,99.9,
"OxA-2460","13990","13460","13990","13460",,99.9,,,99.9,
"UGAMS-8981","14315","14059","14314","14059",,99.9,,,99.8,
"UGAMS-8982","14805","14078","14805","14078",,100,,,99.9,
"UOW-PL8-8","19336","14536","19336","14536",,100,,,99.9,
"UOW-PL8-7","20136","15336","20136","15324",,100,,,99.9,
"Pta-3451","12433","11280","12433","11282",,100,,,99.8,
"Pta-7288","10693","10253","11056","10337",,93.6,,,99.8,
"OxA-35528","11082","10603","11083","10605",,99.9,,,99.9,
"Pta-7275","11140","10584","11140","10586",,100.5,,,99.9,
"RCC10.1","16343","10743","16203","10883",,101.3,,,99.9,
"RCC10.2","15343","10543","15187","10711",,101.8,,,99.9,
"Pta-5593","15479","14358","15483","14363",,100,,,99.7,
"Pta-5601","16493","15600","16493","15601",,100.1,,,99.7,
"Q-3175","15265","13505","15268","13507",,100,,,99.4,
"Q-3176","15077","13518","15074","13517",,100,,,99.5,
"Q-3173","15933","14199","15935","14199",,99.9,,,99.4,
"Pta-884","15933","15120","15930","15119",,100.1,,,99.6,
"Q-3172","16240","15332","16242","15333",,100,,,99.6,
"Q-1452","22252","20889","22253","20889",,100,,,99.5,
"Pta-918","24441","23211","24271","23275",,103.9,,,99.8,
"Pta-6065","13432","12623","13435","12623",,100,,,99.6,
"OxA-32926","14040","13617","14040","13617",,99.9,,,99.9,
"Pta-6282","14803","13770","14804","13770",,99.9,,,99.8,
"OxA-32925","14821","14083","14821","14083",,100,,,99.8,
"OxA-32924","14846","14189","14847","14189",,100,,,99.9,
"OxA-32923","15555","15144","15554","15144",,100.1,,,99.8,
"OxA-32922","15646","15257","15645","15257",,100,,,99.9,
"Pta-6062","14846","14165","14846","14165",,99.9,,,99.8,
"Pta-6058","15029","14147","15029","14147",,99.9,,,99.8,
"Pta-6281","23781","22972","23781","22972",,99.9,,,99.7,
"Pta-6077","24532","23894","24365","23870",,109.2,,,99.8,
"OxA-32920","24618","23970","24442","23916",,97.6,,,99.7,
"Pta-682","14028","13465","14030","13465",,99.9,,,99.7,
"Pta-822","18259","17545","18260","17546",,100.1,,,99.7,
"TX-5782","12434","11145","12433","11145",,100,,,99.7,
"TX-5631","14827","13097","14827","13096",,100,,,99.4,
"TX-5783","14883","13313","14878","13313",,99.9,,,99.5,
"UBA-17609","17497","17286","17498","17286",,99.9,,,99.9,
"UBA-17610","17840","17300","17840","17300",,100,,,99.8,
"UBA-17611","18651","18275","18651","18275",,100,,,99.9,
"UBA-17612","19823","19427","19823","19427",,100,,,99.8,
"UBA-17613","23773","23286","23773","23286",,100,,,99.9,
"UBA-17614","23887","23387","23886","23387",,99.9,,,99.8,
"UBB5","24927","16927","24227","17347",,103.8,,,99.9,
"Pta-4307","10657","9915","11057","10261",,61.7,,,99.3,
"Pta-4226","16444","15716","16439","15715",,100,,,99.7,
"IT-C-2327 (CN 26617)","13592","13318","13592","13319",,99.9,,,99.9,
"IT-C-2569 (CN 35722)","13592","13334","13591","13334",,99.8,,,99.9,
"IT-C-2390 (CN 35722)","13594","13342","13594","13342",,99.8,,,99.9,
"BETA-516054 (CN 26617)","13599","13412","13599","13411",,99.6,,,99.9,
"IT-C-2328 (CN 26617)","13735","13345","13735","13344",,99.8,,,99.9,
"IT-C-2539 (CN 34285)","13793","13514","13793","13514",,100,,,99.9,
"IT-C-2566 (CN 35716)","15228","14521","15226","14521",,99.9,,,99.8,
"IT-C-2563 (CN 34911)","15904","15452","15904","15451",,99.9,,,99.8,
"IT-C-2538 (CN 30270)","16585","16165","16585","16165",,100,,,99.8,
"IT-C-2567 (CN 30258)","17388","17044","17388","17043",,100,,,99.8,
"IT-C-2564 (CN 30224)","17455","17074","17455","17074",,99.9,,,99.8,
"IT-C-2346 (CN 30258)","17696","17051","17695","17051",,100,,,99.8,
"IT-C-2562 (CN 32455)","20360","19900","20359","19899",,100,,,99.8,
"IT-C-2356 (CN 32455)","20427","19909","20427","19907",,99.9,,,99.8,
"IT-C-2345 (CN 31390)","20896","20355","20896","20356",,100,,,99.8,
"IT-C-2357 (CN 36264)","21972","21268","21972","21265",,100,,,99.8,
"BETA-461583 (CN 17923)","21855","21400","21855","21400",,99.9,,,99.9,
"IT-C-2376 (CN 36264)","22005","21278","22006","21296",,100,,,99.8,
"BETA-461582 (CN 22305)","22853","22394","22853","22394",,99.9,,,99.9,
"BETA-469051 (CN 18702)","23010","22625","23011","22626",,100,,,99.9,
"End RB",,,"10688","10167",,,,,96.1,
"",,,,,,,,,,
"Start OAK",,,"14266","14067",,,,,97,
"",,,,,,,,,,
"Oakhurst",,,,,,,,,100,
"Oakhurst_Kernel","-2","2","-2","2",,100,,,99.8,
"Oakhurst_Scale","9.97466e-18","1","0.17","0.821",,100,,,99.9,
"Sum OAK",,,,,,,,,100,
"SHCal20",,,,,,,,,,
"SMU-1823","10645","8455","10582","8454",,100,,,99,
"UW-410","10576","9756","10575","9752",,100,,,99.7,
"UW-411","12687","11785","12686","11786",,100,,,99.7,
"Pta-1484","10235","9736","10235","9737",,100,,,99.8,
"Pta-1805","14021","13485","14021","13485",,100,,,99.8,
"GrN-5874","11109","10598","11109","10598",,99.9,,,99.8,
"Poz-104,167","11186","10757","11186","10758",,99.9,,,99.9,
"Poz-64,463","11111","10664","11111","10665",,99.9,,,99.8,
"Poz-64,465","11326","11156","11326","11158",,100,,,99.9,
"GrN-4845","11075","10566","11075","10566",,99.7,,,99.7,
"GrN-4813","11708","11191","11708","11191",,100,,,99.7,
"Pta-1905","7562","7281","7570","7364",,73.7,,,99.9,
"Pta-2347","8767","8343","8768","8343",,100,,,99.8,
"Pta-1587","11246","10802","11246","10802",,99.9,,,99.8,
"OxA-32684","11705","11252","11705","11252",,99.8,,,99.9,
"OxA-32685","14786","13881","14199","13879",,119.7,,,99.8,
"CK7-2","12037","10437","12037","10437",,100,,,99.9,
"Pta-0737","12833","12201","12833","12201",,100,,,99.7,
"AA-5833","12912","12637","12912","12638",,99.6,,,99.9,
"OxA-478","13171","12196","13171","12197",,100,,,99.4,
"Pta-0732","12755","12095","12756","12096",,100,,,99.6,
"Pta-2481","11760","11215","11760","11215",,99.9,,,99.6,
"Pta-2592","12470","10659","12470","10655",,99.9,,,99.3,
"Pta-5336","12614","11971","12614","11971",,99.9,,,99.7,
"Pta-5361","12729","12065","12729","12065",,99.8,,,99.8,
"Pta-5369","12765","12175","12765","12175",,99.9,,,99.8,
"Pta-6758","12745","12097","12746","12097",,99.9,,,99.8,
"Pta-686","11181","10597","11181","10598",,100,,,99.7,
"UW-0192","13181","12738","13181","12737",,100,,,99.7,
"UW-0193","11835","11278","11836","11278",,99.9,,,99.8,
"Pta-4816","12966","12494","12966","12494",,99.8,,,99.7,
"Pta-1125","11832","11205","11831","11206",,99.9,,,99.7,
"Pta-3643","13764","13319","13763","13319",,99.9,,,99.8,
"LLNL-CAMS# 170783","11867","11324","11845","11324",,99.8,,,99.8,
"Pta-5191","9526","9034","9526","9035",,100,,,99.8,
"UGAMS-8984","10290","10181","10290","10180",,99.2,,,99.9,
"OxA-27311","9660","9465","9660","9465",,99.2,,,99.9,
"UGAMS-11597","9719","9539","9719","9539",,99.9,,,99.9,
"Pta-5192","10231","9729","10231","9725",,100,,,99.8,
"Pta-5204","10661","10236","10662","10236",,99.9,,,99.7,
"UGAMS-8985","10578","10299","10578","10298",,99.8,,,99.9,
"OxA-27312","10376","10176","10375","10176",,99.6,,,99.9,
"OxA-27313","10405","10180","10404","10180",,99.6,,,99.9,
"OxA-27314","11874","11331","11873","11332",,99.7,,,99.9,
"OxA-27315","11843","11326","11844","11327",,99.7,,,99.8,
"UGAMS-8986","11712","11308","11712","11308",,99.8,,,99.9,
